docname,Newspaper,Date,Beginning of Passage,keyword,End of Passage,Code,Comments
34_1045,South China Morning Post.com,2023-10-15T00:00:00Z,Young Shanghai man undergoes,vasectomy,to protect health of wife has sparked fresh debate about gender biasHurtful online observers hurl abuse at him who says he expected it and has no regrets,NA,NA
34_1059,South China Morning Post.com,2023-10-15T00:00:00Z,"Historically , during more than three decades of the national "" one-child policy "" , it was routine for women to use intrauterine devices , or IUDs , as a long-term",birth control,"measure , which , over time , led to various health complications .",NA,NA
34_1075,South China Morning Post.com,2023-10-15T00:00:00Z,Subject : CYBERHARASSMENT ( 90 % ) ; SURGERY & TRANSPLANTATION ( 90 % ) ; CONTRACEPTION ( 89 % ) ;,REPRODUCTIVE,TECHNOLOGY ( 89 % ) ; FAMILY PLANNING ( 78 % ) ; GENDER & SEX DISCRIMINATION ( 78 % ) ; GENDER EQUALITY ( 78 % ) ; PHOTO & VIDEO SHARING ( 78 % ) ; SOCIAL MEDIA ( 78 % ) ; EDITORIALS & OPINIONS ( 59,NA,NA
34_1077,South China Morning Post.com,2023-10-15T00:00:00Z,Industry : CONTRACEPTION ( 89 % ) ;,REPRODUCTIVE,"TECHNOLOGY ( 89 % ) ; PHOTO & VIDEO SHARING ( 78 % ) ; SOCIAL MEDIA ( 78 % ) ; HORMONES , SUBSTITUTES & ANTAGONISTS ( 60 % )",NA,NA
28_1099,Xinhua Economic News Service,2004-12-27T00:00:00Z,China allows township hospitals to give clinical services of,birth control,", which was provided at hospitals of county level or higher , if they have qualified personnel and facilities .",NA,NA
28_1100,Xinhua Economic News Service,2004-12-27T00:00:00Z,Township hospitals are allowed to do,birth control,"operations , including inserting and taking out Intrauterine Device ( IUD ) , vasectomy , tubectomy and induced abortion within 12 weeks of pregnancy , according to a newly-amended government regulation on birth control techniques , released by the State Council on December 26 .",NA,NA
28_1101,Xinhua Economic News Service,2004-12-27T00:00:00Z,"The regulation also required hospitals to hire at least one practicing doctor and equip themselves with relevant facilities , medicines and management if they wants to do",vasectomy,", tubectomy and induced abortion . Those that only conduct IUD operations must hire at least one assistant practicing doctor .",NA,NA
28_1102,Xinhua Economic News Service,2004-12-27T00:00:00Z,The country only allowed hospitals of county and higher levels to do,birth control,surgeries and consultation before the regulation was amended .,NA,NA
28_1104,Xinhua Economic News Service,2004-12-27T00:00:00Z,Couples in rural areas will enjoy free,birth control,"operations funded by the government and the central government will give subsidies to less developed regions in west China , according to the regulation .",NA,NA
28_1106,Xinhua Economic News Service,2004-12-27T00:00:00Z,The health authorities across the country are asked to check upall township hospitals in their districts for their qualification to do,birth control,surgeries in the six months after the amendment was issued .,NA,NA
28_1107,Xinhua Economic News Service,2004-12-27T00:00:00Z,Individual doctors are banned from doing any,birth control,"operation , the regulation said . They will be fined 5,000 to 20,000 yuan ( 604 to 2,418 US dollars ) , if earning less than 5,000 yuan from the illegal operation , and twice to five times if the illegal income is more than 5,000 yuan .",NA,NA
28_1108,Xinhua Economic News Service,2004-12-27T00:00:00Z,The hospitals are also forbidden to hire unqualified workers,inbirth control,operations and those treating sterility must have licenses granted by provincial health authorities .,NA,NA
28_1110,Xinhua Economic News Service,2004-12-27T00:00:00Z,China has adopted,birth control,"policies for more than 20 years encouraging one couple to have one child in a bid to slow down the growth of its population , which now topped 1.3 billion . Enditem ( ? )",NA,NA
47_1259,Shenzhen Daily,2021-03-15T00:00:00Z,"FOR decades ,",birth control,"pills have exclusively been used by women . But a male birth control pill that is both safe and effective may be on the horizon , according to a new study .",NA,NA
47_1265,Shenzhen Daily,2021-03-15T00:00:00Z,There are a number of,birth control,"options for women , including hormone-based pills , injections and intrauterine devices . However , the menu of options is much smaller for men .",NA,NA
47_1267,Shenzhen Daily,2021-03-15T00:00:00Z,“ The only options currently available for men are,vasectomy,", condoms and coitus interruptus , ” Page said . “ Forty percent of pregnancies worldwide are unplanned , so there’s clearly an unmet need for novel contraceptives , and men have very few options . ”",NA,NA
47_1269,Shenzhen Daily,2021-03-15T00:00:00Z,A,vasectomy,"is a surgical procedure that prevents the transmission of sperm by cutting the vas deferens , a structure that transports sperm from the testes to the urethra .",NA,NA
47_1287,Shenzhen Daily,2021-03-15T00:00:00Z,Finding a,male birth,"control pill has been a medical goal since at least the 1950s , when scientists first began developing hormonal birth control options . Though “ the pill ” eventually gained popularity among women , hormonal birth control options for men never really took off , according to Page .",NA,NA
47_1309,Shenzhen Daily,2021-03-15T00:00:00Z,Subject : CONTRACEPTION ( 96 % ) ; RESEARCH REPORTS ( 91 % ) ; ENDOCRINOLOGY ( 90 % ) ; DRUG SAFETY ( 89 % ) ;,REPRODUCTIVE,"TECHNOLOGY ( 89 % ) ; SURGERY & TRANSPLANTATION ( 89 % ) ; WOMEN ( 89 % ) ; CHILDREN , ADOLESCENTS & TEENS ( 78 % ) ; HUMAN REPRODUCTIVE STERILIZATION ( 78 % ) ; MEN'S HEALTH ( 78 % ) ; PREGNANCY & CHILDBIRTH ( 78",NA,NA
73_1342,South China Morning Post,2004-03-05T00:00:00Z,"SEOUL - - Not in the too distant past , South Korea lauded families with only one child as exemplary and , at one point , even tried luring men into getting",vasectomies,by offering to exempt them from mandatory army reserve duty .,NA,NA
71_1380,Shenzhen Daily,2018-05-31T00:00:00Z,"Charity Koronya ,",reproductive,"health commodity security specialist at UN Population Fund ( UNFPA ) , said the government should focus on home-grown financing schemes to bridge access to contraceptives among women of child bearing age .",NA,NA
71_1382,Shenzhen Daily,2018-05-31T00:00:00Z,She spoke at a forum in Nairobi to discuss the nexus between,reproductive,health rights and sustainable development in Kenya that was attended by policymakers and advocates .,NA,NA
71_1385,Shenzhen Daily,2018-05-31T00:00:00Z,She urged men to embrace family planning methods like,vasectomy,as a means to save their wives from unplanned pregnancies .,NA,NA
71_1397,Shenzhen Daily,2018-05-31T00:00:00Z,Subject : FAMILY PLANNING ( 94 % ) ; CONTRACEPTION ( 90 % ) ; MATERNAL & CHILD HEALTH ( 90 % ) ;,REPRODUCTIVE,HEALTH CLINICS ( 90 % ) ; SEXUAL & REPRODUCTIVE HEALTH ( 90 % ) ; UNITED NATIONS ( 90 % ) ; FAMILY ( 89 % ) ; PREGNANCY & CHILDBIRTH ( 78 % ) ; PUBLIC POLICY ( 78 % ) ; WOMEN ( 78 % ) ;,NA,NA
71_1399,Shenzhen Daily,2018-05-31T00:00:00Z,Industry : PRESS AGENCY RELEASES ( 90 % ) ;,REPRODUCTIVE,HEALTH CLINICS ( 90 % ) ; NEWS SYNDICATION ( 78 % ) ; SUSTAINABLE DEVELOPMENT ( 70 % ),NA,NA
48_1422,Shenzhen Daily,2018-03-23T00:00:00Z,"Scientists have created a compound that causes reversible contraception in male mice and may work in men , and",birth control,"drugs for men are in trials , too",NA,NA
48_1436,Shenzhen Daily,2018-03-23T00:00:00Z,"Although the condom's history is colourful and varied , it has been the only contraceptive form available to men - apart from abstinence from sex , non-vaginal ejaculation , or a",vasectomy,- usually seen as a permanent method .,NA,NA
48_1437,Shenzhen Daily,2018-03-23T00:00:00Z,"Women have had a , including the",birth control,"pill or injections , a coil , diaphragm or female condom .",NA,NA
48_1441,Shenzhen Daily,2018-03-23T00:00:00Z,"Martin Matzuk , a",reproductive,"biologist , clinical pathologist , and director of the Centre for Drug Discovery at the Baylor College of Medicine in the US state of Texas , was lead author of the study .",NA,NA
48_1442,Shenzhen Daily,2018-03-23T00:00:00Z,He says the drug works by inhibiting the activity of an enzyme in sperm called serine / threonine kinase 33 ( STK33 ) . This makes the affected sperm move slowly and less efficiently through the female,reproductive,"tract , preventing them from being able to fertilise eggs .",NA,NA
48_1446,Shenzhen Daily,2018-03-23T00:00:00Z,""" Since 1960 , there has been a",birth control,"pill for women but not one for men . If men ( or mice ) are infertile due to a particular gene mutation , that would suggest that chemical inhibition of that same gene would induce a contraceptive effect , "" he said .",NA,NA
48_1447,Shenzhen Daily,2018-03-23T00:00:00Z,"With more than 1,000 genes expressed during sperm cell production , Matzuk adds , there could be many more options for",male contraception,.,NA,NA
48_1448,Shenzhen Daily,2018-03-23T00:00:00Z,Matzuk's group is just one of many working on the science to develop a,male contraception,.,NA,NA
48_1449,Shenzhen Daily,2018-03-23T00:00:00Z,A review of ongoing research into,male contraception,from a team at the University of South Dakota in the US highlights some promising forms that are being tested on men .,NA,NA
48_1450,Shenzhen Daily,2018-03-23T00:00:00Z,"One is a gel containing the male sex hormone testosterone and segesterone acetate ( Nestorone ) , that aids in",birth control,.,NA,NA
22_1494,Xinhua General News Service,2003-10-14T00:00:00Z,But the court heard that he persuaded one woman to have unprotected sex by claiming that he had undergone a,vasectomy,"and pursued the second victim , a mother of two , repeatedly telling her he loved her and wanted her to have his children .",NA,NA
61_1544,Shanghai Daily (Benchmark),2014-10-21T00:00:00Z,They received medical care including,vasectomies,and dental work . They gained weight on a steady diet — with lamb meat saved for special treats .,NA,NA
65_1600,South China Morning Post,2004-03-27T00:00:00Z,The researchers said the smartphone-based fertility test could be also used by men to monitor their semen at home after undergoing,vasectomies,or by animal breeders to confirm the virility of a sample .,NA,NA
65_1608,South China Morning Post,2004-03-27T00:00:00Z,Subject : RESEARCH REPORTS ( 92 % ) ; FERTILITY & INFERTILITY ( 91 % ) ; FORENSICS ( 90 % ) ; MEN'S HEALTH ( 90 % ) ;,REPRODUCTIVE,TECHNOLOGY ( 89 % ) ; CONSUMERS ( 78 % ) ; HOME HEALTH TESTING ( 78 % ) ; INVESTIGATIONS ( 78 % ) ; PREGNANCY & CHILDBIRTH ( 78 % ) ; REPRODUCTIVE HEALTH CLINICS ( 78 % ) ; SCIENCE & TECHNOLOGY ( 72 % ) ;,NA,NA
65_1610,South China Morning Post,2004-03-27T00:00:00Z,TELEPHONES ( 91 % ) ; CONSUMER ELECTRONICS ( 90 % ) ; PRESS AGENCY RELEASES ( 90 % ) ; SMARTPHONES ( 90 % ) ; ACADEMIC MEDICAL CENTERS ( 89 % ) ; HOME HEALTH TESTING ( 78 % ) ; NEWS SYNDICATION ( 78 % ) ;,REPRODUCTIVE,HEALTH CLINICS ( 78 % ) ; TELEPHONIC EQUIPMENT ( 78 % ) ; MATERNITY HOSPITALS ( 75 % ) ; WRITERS ( 71 % ),NA,NA
50_1634,South China Morning Post,2008-09-08T00:00:00Z,"Dr Leong Che-hung , a council member of the Family Planning Association and former legislator for the medical functional constituency , said advances in",reproductive,science had largely gone over local men's heads .,NA,NA
50_1635,South China Morning Post,2008-09-08T00:00:00Z,""" In Hong Kong , male sex counselling and",reproductive,"health services are not adequately provided for , "" he said . "" In a recent survey by the Aids Foundation on the use of condoms among university students it was found to our horror that many did not even know how to put on the device .",NA,NA
50_1637,South China Morning Post,2008-09-08T00:00:00Z,"The Family Planning Association offers couples advice and check-ups before marriage and before trying to conceive , gives out condoms and advice on",vasectomies,to men and holds clinics for men and women at three of its youth health care centres for people under 26 . It has set up a working group to discuss how to better provide for the needs of men . Dr Leong said many of men's ideas about fertility,NA,NA
50_1644,South China Morning Post,2008-09-08T00:00:00Z,Subject : FAMILY ( 90 % ) ; FAMILY PLANNING ( 90 % ) ; FERTILITY & INFERTILITY ( 90 % ) ;,REPRODUCTIVE,MEDICINE ( 90 % ) ; SEXUAL & REPRODUCTIVE HEALTH ( 90 % ) ; MARRIAGE ( 89 % ) ; REPRODUCTIVE HEALTH CLINICS ( 79 % ) ; MEN ( 78 % ) ; OBSTETRICS & GYNECOLOGY ( 78 % ) ; CHILDREN'S HEALTH ( 77 % ) ;,NA,NA
50_1648,South China Morning Post,2008-09-08T00:00:00Z,Industry :,REPRODUCTIVE,MEDICINE ( 90 % ) ; REPRODUCTIVE HEALTH CLINICS ( 79 % ) ; OBSTETRICS & GYNECOLOGY ( 78 % ) ; HUMAN REPRODUCTIVE STERILIZATION ( 73 % ) ; HEALTH CARE ( 72 % ),NA,NA
31_1686,South China Morning Post.com,2021-02-25T00:00:00Z,"Zhang said it was not her who made the choice to stop having babies , but that of her husband , who underwent a",vasectomy,after the last child was born in 2019 because his work left him little time to spend with the family .,NA,NA
63_1723,South China Morning Post,2002-11-19T00:00:00Z,"Rwanda's Ministry of Health on Sunday refuted allegations the government planned to carry out 700 , 000",vasectomies,to curb population growth of the tiny Central African nation .,NA,NA
63_1726,South China Morning Post,2002-11-19T00:00:00Z,"The comments came in response to allegations that 700,000 men countrywide were "" forced "" to have",vasectomies,due to the large birth rate .,NA,NA
63_1735,South China Morning Post,2002-11-19T00:00:00Z,Subject : GOVERNMENT DEPARTMENTS & AUTHORITIES ( 90 % ) ; HEALTH DEPARTMENTS ( 90 % ) ; HUMAN,REPRODUCTIVE,STERILIZATION ( 90 % ) ; NEGATIVE PERSONAL NEWS ( 90 % ) ; POPULATION GROWTH ( 90 % ) ; PUBLIC HEALTH ADMINISTRATION ( 90 % ) ; FAMILY PLANNING ( 88 % ) ; INTERNATIONAL ORGANIZATIONS & BODIES ( 79 % ) ; GOVERNMENT & PUBLIC ADMINISTRATION (,NA,NA
16_1811,Xinhua General News Service,2003-08-25T00:00:00Z,"DHAKA , Aug . 25 ( Xinhua ) - - Bangladesh needs immediate promotion of permanent and long term methods than the temporary",birth control,"programs to control the population , reported the official Bangladesh News Agency on Monday .",NA,NA
16_1815,Xinhua General News Service,2003-08-25T00:00:00Z,"They , however , cautioned the situation might emerge adversely without a proper",birth control,"policy or the contraceptives security was not ensured by 2015 , when the population would reach little over 180 million and contraceptive demands would be doubled .",NA,NA
16_1816,Xinhua General News Service,2003-08-25T00:00:00Z,"Nurul Hossain , Chief of Party of Deliver Bangladesh , sought strong media supports to encourage people to take sterilization (",vasectomy,and ligation ) instead of the popular temporary methods like oral pills .,NA,NA
16_1825,Xinhua General News Service,2003-08-25T00:00:00Z,( 90 % ) ; POPULATION SIZE ( 79 % ) ; FAMILY ( 78 % ) ; FERTILITY & INFERTILITY ( 78 % ) ; FERTILITY RATES ( 78 % ) ; GOVERNMENT DEPARTMENTS & AUTHORITIES ( 78 % ) ; HEALTH DEPARTMENTS ( 78 % ) ; HUMAN,REPRODUCTIVE,STERILIZATION ( 78 % ) ; ASSOCIATIONS & ORGANIZATIONS ( 77 % ) ; TALKS & MEETINGS ( 77 % ) ; INTERNATIONAL RELATIONS & NATIONAL SECURITY ( 76 % ) ; GOVERNMENT ADVISORS & MINISTERS ( 71 % ) ; INTERNATIONAL ECONOMIC ORGANIZATIONS ( 70 % ),NA,NA
11_1854,Shanghai Daily (Benchmark),2013-03-15T00:00:00Z,WOMEN in south China's Dongguan City were shocked to see details of their,birth control,methods posted on a notice board at the entrance to their village committee office .,NA,NA
11_1856,Shanghai Daily (Benchmark),2013-03-15T00:00:00Z,""" Our names , ID numbers , home addresses , and our methods of",birth control,"were all published . They don't pay respect to our privacy , "" a villager surnamed Xiang from Hengli Village told the Southern Metropolis Daily .",NA,NA
11_1860,Shanghai Daily (Benchmark),2013-03-15T00:00:00Z,One column lists the villagers ',birth control,"methods , the newspaper said .",NA,NA
11_1862,Shanghai Daily (Benchmark),2013-03-15T00:00:00Z,"Some were said to be using condoms , others intrauterine contraceptive devices , while it was easy to see which men had had a",vasectomy,and which women had been sterilized . The list was also published online .,NA,NA
11_1866,Shanghai Daily (Benchmark),2013-03-15T00:00:00Z,""" Some",birth control,"methods involving surgeries may charge medical expense and the villagers can apply for medical reimbursements , "" a committee official told the newspaper . "" We published their information to ensure work transparency . """,NA,NA
11_1872,Shanghai Daily (Benchmark),2013-03-15T00:00:00Z,Dongguan family planning authorities told the newspaper the publication of,birth control,information had been the practice for a number of years .,NA,NA
11_1874,Shanghai Daily (Benchmark),2013-03-15T00:00:00Z,"Under local regulations , villagers share in an annual bonus from the local government , with the amount linked to their",birth control,"status . "" Whether there are violations against the one-child policy or whether the violators paid fines for breaking the rule are all linked to how much share the villagers would get , "" an official said .",NA,NA
11_1876,Shanghai Daily (Benchmark),2013-03-15T00:00:00Z,""" It is indeed inappropriate for some village committee to directly publish villagers ' ID cards and their",birth control,"methods , "" the official said .",NA,NA
11_1887,Shanghai Daily (Benchmark),2013-03-15T00:00:00Z,Subject : CONTRACEPTION ( 95 % ) ; FAMILY PLANNING ( 90 % ) ; DATA PROTECTION LAWS ( 78 % ) ; HUMAN,REPRODUCTIVE,"STERILIZATION ( 78 % ) ; REGIONAL & LOCAL GOVERNMENTS ( 78 % ) ; MARRIAGE ( 76 % ) ; SURGERY & TRANSPLANTATION ( 74 % ) ; CHILDREN , ADOLESCENTS & TEENS ( 73 % ) ; FINES & PENALTIES ( 67 % ) ; GOVERNMENT & PUBLIC",NA,NA
26_1914,Global Times (China),2017-05-05T00:00:00Z,A Chilean lion has given birth to two cubs after a successful surgery to reverse its,vasectomy,at Buin Zoo in Santiago .,NA,NA
26_1925,Global Times (China),2017-05-05T00:00:00Z,Subject : MAMMALS ( 90 % ) ; SURGERY & TRANSPLANTATION ( 90 % ) ;,REPRODUCTIVE,TECHNOLOGY ( 85 % ),NA,NA
17_1950,South China Morning Post,2003-10-30T00:00:00Z,"Speaking at a national conference on Monday , Minister of Population and Family Planning Zhang Weiqing said China's",reproductive,"health industry should play a greater role in meeting the demands for contraceptive products from abroad , especially from developing countries .",NA,NA
17_1951,South China Morning Post,2003-10-30T00:00:00Z,China has invested heavily in the research and development of,reproductive,health products such as contraceptives .,NA,NA
17_1952,South China Morning Post,2003-10-30T00:00:00Z,The ministry has spent more than 58 million yuan ( HK $ 54.5 million ) on 11 research projects on contraceptives and conducted extensive research on reversible,vasectomy,"operations , Zhang Shikun , director of its science and technology department , was quoted by China Daily as saying .",NA,NA
17_1954,South China Morning Post,2003-10-30T00:00:00Z,""" Expansion of the",reproductive,health product industry is a good sign because more products can help prevent the spreading of diseases via sexual contact such as HIV leading to Aids .,NA,NA
17_1955,South China Morning Post,2003-10-30T00:00:00Z,""" But policy-makers should pay more attention to popularising ideas about contraceptives nationally - for example , lifting bans on condoms and other health",reproductive,"products - which will also boost sales of these products . """,NA,NA
17_1956,South China Morning Post,2003-10-30T00:00:00Z,"Although the mainland is a leading manufacturer of contraceptives and technology , public discussion of issues such as sex and",birth control,remains taboo with many .,NA,NA
17_1965,South China Morning Post,2003-10-30T00:00:00Z,Subject : CONTRACEPTION ( 92 % ) ; ASSOCIATIONS & ORGANIZATIONS ( 90 % ) ; GOVERNMENT & PUBLIC ADMINISTRATION ( 90 % ) ; GOVERNMENT BODIES & OFFICES ( 90 % ) ; OUTPUT & DEMAND ( 90 % ) ;,REPRODUCTIVE,DISORDERS & INJURIES ( 90 % ) ; REPRODUCTIVE MEDICINE ( 90 % ) ; RESEARCH & DEVELOPMENT ( 90 % ) ; SEXUAL & REPRODUCTIVE HEALTH ( 90 % ) ; EXPORT TRADE ( 89 % ) ; GOVERNMENT ADVISORS & MINISTERS ( 89 % ) ; FAMILY PLANNING,NA,NA
17_1967,South China Morning Post,2003-10-30T00:00:00Z,Industry : CONTRACEPTION ( 92 % ) ;,REPRODUCTIVE,MEDICINE ( 90 % ) ; MANUFACTURING ( 89 % ) ; REPRODUCTIVE TECHNOLOGY ( 78 % ) ; AIDS & HIV POLICY ( 77 % ) ; MANUFACTURING OUTPUT ( 77 % ) ; MISC RUBBER PRODUCTS MFG ( 77 % ),NA,NA
66_1995,Xinhua General News Service,2017-03-22T00:00:00Z,"The volunteers were 18 to 55 years old , had not had a",vasectomy,", and were part of a couple planning to use their own eggs and sperm in fertility treatment .",NA,NA
66_2017,Xinhua General News Service,2017-03-22T00:00:00Z,Subject : PESTICIDES ( 94 % ) ;,REPRODUCTIVE,TECHNOLOGY ( 90 % ) ; FERTILITY & INFERTILITY ( 89 % ) ; RESEARCH REPORTS ( 89 % ) ; FORENSICS ( 78 % ) ; ORGANIC FOODS ( 78 % ) ; WRITERS ( 78 % ) ; INVESTIGATIONS ( 77 % ) ; REPRODUCTIVE HEALTH CLINICS (,NA,NA
66_2019,Xinhua General News Service,2017-03-22T00:00:00Z,: PESTICIDES ( 94 % ) ; FRUITS & VEGETABLES ( 92 % ) ; AGRICULTURAL CHEMICALS ( 78 % ) ; AGRICULTURE ( 78 % ) ; FOOD & BEVERAGE CONSUMPTION ( 78 % ) ; ORGANIC FOODS ( 78 % ) ; WRITERS ( 78 % ) ;,REPRODUCTIVE,HEALTH CLINICS ( 75 % ) ; AGRICULTURE DEPARTMENTS ( 71 % ),NA,NA
10_2042,Xinhua General News Service,2010-12-26T00:00:00Z,Star soccer player Ronaldo revealed on Sunday his recent,vasectomy,. The decision by the athlete comes after recognition of five-year-old Alexandre as his fourth child .,NA,NA
64_2077,Xinhua General News Service,2011-02-13T00:00:00Z,"Just one generation ago , the government was exhorting South Koreans to have fewer offspring with offers such as free",vasectomies,and tax breaks for families with fewer children .,NA,NA
25_2121,South China Morning Post,2009-04-05T00:00:00Z,""" Snip , snip "" is the sound of the future for Hank Moody ( David Duchovny , X-Files ) , the talented but froward New York writer stranded out west in Californication ( FX ; Mondays at 11pm ) . Apparently , open-ended",vasectomies,are all the rage in Hollywood and Moody has just signed himself up for one .,NA,NA
41_2202,Asia Times-English,2023-09-09T00:00:00Z,"Once seen as a “ , ” Iran’s TFR fell faster than anticipated to 1.6 in 2012 . That year , the government began attempts to boost the birth rate by to",birth control,", abortion and vasectomies .",NA,NA
70_2329,South China Morning Post,2005-04-17T00:00:00Z,Her husband had a,vasectomy,during his wife’s ninth pregnancy but had it reversed when they decided to have more children .,NA,NA
45_2377,South China Morning Post,2014-07-01T00:00:00Z,Li reveals he had a,vasectomy,"after the birth of his daughter , Li Xiaolin , who now heads energy company China Power International Development , and his second son , Li Xiaoyong . This was before the introduction of the one-child policy .",NA,NA
45_2392,South China Morning Post,2014-07-01T00:00:00Z,") ; COMMUNISM ( 89 % ) ; PREGNANCY & CHILDBIRTH ( 89 % ) ; CHILDREN , ADOLESCENTS & TEENS ( 88 % ) ; FAMILY PLANNING ( 78 % ) ; REGIONAL & LOCAL GOVERNMENTS ( 78 % ) ; POLITICAL PARTIES ( 76 % ) ; HUMAN",REPRODUCTIVE,STERILIZATION ( 74 % ) ; MARTIAL LAW ( 70 % ) ; INTERNATIONAL RELATIONS & NATIONAL SECURITY ( 69 % ) ; OBSTETRICS & GYNECOLOGY ( 65 % ) ; PHYSICIANS & SURGEONS ( 61 % ) ; SURGERY & TRANSPLANTATION ( 61 % ) ; MISCARRIAGES ( 60,NA,NA
54_2428,South China Morning Post,2008-08-24T00:00:00Z,"agents from Hong Kong into China between 1969 and 1981 , then returns to America as chief of the Counter-Terrorist Centre and helps hunt down and arrest Carlos the Jackal who , in a deliciously absurd episode , is carted off strapped to a hospital trolley after a reverse -",vasectomy,operation .,NA,NA
58_2495,South China Morning Post,2011-01-13T00:00:00Z,Li reveals he had a,vasectomy,"after the birth of his daughter , Li Xiaolin , who now heads energy company China Power International Development , and his second son , Li Xiaoyong . This was before the introduction of the one-child policy .",NA,NA
49_2541,South China Morning Post.com,2024-06-15T00:00:00Z,Men who like the comfort of heated car seats may be at risk of vehicular,vasectomy,", say researchers from Germany's University of Giessen in the latest issue of New Scientist . The optimal temperature for sperm production is one or two degrees below the core body temperature of 37 degrees Celsius , AFP reports . However , the testicular temperatures of 30 volunteers who sat",NA,NA
49_2551,South China Morning Post.com,2024-06-15T00:00:00Z,) ; STROKES ( 79 % ) ; CANCER ( 78 % ) ; DEATH & DYING ( 78 % ) ; DIABETES ( 78 % ) ; SCIENCE & TECHNOLOGY ( 78 % ) ; WOMEN'S HEALTH ( 77 % ) ; PHYSICAL FITNESS ( 76 % ) ;,REPRODUCTIVE,TECHNOLOGY ( 75 % ) ; STROKE TREATMENT & REHABILITATION ( 75 % ) ; BREAST CANCER ( 73 % ) ; HEART DISEASE ( 71 % ) ; TYPE 2 DIABETES ( 70 % ) ; COLLEGES & UNIVERSITIES ( 68 % ),NA,NA
24_2651,Global Times (China),2014-07-23T00:00:00Z,"has either abnormal liver function or an endocrine disorder , birth-control shots are not an option , "" said Qiao.For older women still able to conceive , Qiao recommends tubal ligation , or having one's "" tubes tied . "" "" But it's much easier for men to have a",vasectomy,"surgery because they won't suffer as much pain as women , "" she added .",NA,NA
60_2703,South China Morning Post.com,2024-07-29T00:00:00Z,"The prohibition would be narrower , because it would apply only when children are possible : The Leipzig man whose case brought the issue to attention had a",vasectomy,"in 2004 , but that did not affect his criminal liability .",NA,NA
55_2756,South China Morning Post,2003-02-16T00:00:00Z,"Not in the too distant past , South Korea lauded families with only one child as exemplary and , at one point , even tried luring men into getting",vasectomies,by offering to exempt them from mandatory army reserve duty .,NA,NA
55_2780,South China Morning Post,2003-02-16T00:00:00Z,") ; INFANTS & TODDLERS ( 90 % ) ; POPULATION CHARACTERISTICS ( 90 % ) ; POPULATION DECLINE ( 90 % ) ; ABORTION ( 89 % ) ; ABORTION REGULATION & POLICY ( 89 % ) ; CHILDREN , ADOLESCENTS & TEENS ( 89 % ) ; HUMAN",REPRODUCTIVE,STERILIZATION ( 89 % ) ; APPROVALS ( 78 % ) ; FERTILITY RATES ( 78 % ) ; HEALTH DEPARTMENTS ( 78 % ) ; SURGERY & TRANSPLANTATION ( 78 % ) ; TAXES & TAXATION ( 78 % ) ; NEGATIVE NEWS ( 77 % ) ; STATISTICS,NA,NA
20_2807,Xinhua General News Service,2020-09-26T00:00:00Z,"surgeries in the past several years , the first during his presidential campaign in 2018 , when he was stabbed during an event in the state of Minas Gerais . Four of his surgeries were connected to the stabbing , while another at the beginning of this year was a",vasectomy,. Enditem,NA,NA
43_2853,South China Morning Post,2013-10-25T00:00:00Z,"Scrolling through headlines on Bloomberg recently we were intrigued by the following item . "" Public",Vasectomy,"With Band-Aid Promotes Family Planning : Health . "" This was immediately followed by , "" Rubber Drops Most in Three Weeks . "" Was somebody at Bloomberg , as they say , "" having a larf "" ?",NA,NA
62_2907,Shenzhen Daily,2018-03-01T00:00:00Z,"Last year in Zhenlong , for example , the elderly relatives of migrants who had not returned home for scheduled family planning checks , IUD implants and",vasectomies,", were being thrown into prison - and charged a daily fee for the privilege . They would not be released , officials told them , until their far - flung sons , daughters , nieces and nephews made the long trek home .",NA,NA
36_2958,Xinhua General News Service,2010-07-11T00:00:00Z,The ministry has also offered men and women safe minor surgical operations such as,vasectomy,"and tubal ligation with some lucrative rewards to encourage people to permanently give up the pregnancy ability . But two decades have passed , it seems that all the efforts done by the government have failed as 70.3 million more people have been added to country's total population .",NA,NA
53_3017,Xinhua General News Service,2000-05-03T00:00:00Z,At the age of 68 poet W.B . Yeats underwent a fashionable operation that promised nothing short of physical rejuvenation : a,vasectomy,"and injections of a crude cocktail of sex hormones . Until his death eight years later in 1942 he relished the effects of this "" second puberty "" and , in seeming vindication of the link he saw between creativity and desire , went on to four extramarital affairs and",NA,NA
53_3018,Xinhua General News Service,2000-05-03T00:00:00Z,It was not until just before the second world war that the assumption that death began with withered,reproductive,glans fell out of vogue and eye-watering remedies such as testicular grafts from monkey donors disappeared off the market .,NA,NA
44_3160,South China Morning Post,2008-08-24T00:00:00Z,"I read with much sadness the article on my country ( "" Church resists",birth control,"as poor struggle to feed themselves "" , August 19 ) .",NA,NA
44_3164,South China Morning Post,2008-08-24T00:00:00Z,"No , condoms , ligations ,",vasectomies,"and other forms of birth control , will not fix the problem but will bring a moral decay for those who already have so little in life . Work , jobs and an opportunity to earn a living are what the nation needs .",NA,NA
12_3231,China Daily,2014-04-16T00:00:00Z,"A woman in Guangzhou sued for divorce after her husband found she was taking contraceptive pills and thought she had a relationship with another man , Guangzhou Daily reported . The woman said she took the pills to cure menstruation problems , but the husband , who had received a",vasectomy,", thought she was cheating . The court ruled that the marriage still existed because the husband showed regret and said they still have feelings for each other .",NA,NA
